Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,ボール球,ボール球,ボール球,ストライクゾーン,ストライクゾーン,ストライクゾーン,ストライクゾーン,ストライクゾーン,ストライクゾーン
順位,球団,選手名,ボール球計,見極数,見極率,ストライクゾーン計,見逃,空振,スイング率,見逃率,空振率
1,楽天,西川 遥輝,945,797,84.34%,1039,417,86,59.87%,40.13%,8.28%
2,巨人,丸 佳浩,1213,1019,84.01%,1238,382,105,69.14%,30.86%,8.48%
3,オリックス,福田 周平,802,654,81.55%,1053,388,32,63.15%,36.85%,3.04%
4,楽天,浅村 栄斗,1304,1062,81.44%,1262,410,153,67.51%,32.49%,12.12%
5,楽天,小深田 大翔,926,748,80.78%,1075,433,27,59.72%,40.28%,2.51%
6,ＤｅＮＡ,宮﨑 敏郎,804,648,80.60%,950,374,27,60.63%,39.37%,2.84%
7,阪神,大山 悠輔,1020,821,80.49%,1018,319,80,68.66%,31.34%,7.86%
8,ヤクルト,村上 宗隆,1367,1082,79.15%,1195,359,173,69.96%,30.04%,14.48%
9,中日,阿部 寿樹,1100,869,79.00%,1255,389,93,69.00%,31.00%,7.41%
10,西武,外崎 修汰,1084,856,78.97%,1248,426,111,65.87%,34.13%,8.89%
11,オリックス,吉田 正尚,931,734,78.84%,940,403,36,57.13%,42.87%,3.83%
12,オリックス,宗 佑磨,926,724,78.19%,1053,350,42,66.76%,33.24%,3.99%
13,ソフトバンク,今宮 健太,924,721,78.03%,1120,382,74,65.89%,34.11%,6.61%
14,ヤクルト,山田 哲人,1091,847,77.64%,1156,381,145,67.04%,32.96%,12.54%
15,楽天,島内 宏明,1157,897,77.53%,1280,448,62,65.00%,35.00%,4.84%
16,楽天,鈴木 大地,855,660,77.19%,959,338,35,64.75%,35.25%,3.65%
17,日本ハム,松本 剛,707,545,77.09%,919,276,29,69.97%,30.03%,3.16%
18,ロッテ,中村 奨吾,1139,877,77.00%,1348,588,26,56.38%,43.62%,1.93%
19,阪神,糸原 健斗,864,665,76.97%,1034,433,29,58.12%,41.88%,2.80%
20,ＤｅＮＡ,佐野 恵太,1010,775,76.73%,1067,320,37,70.01%,29.99%,3.47%
21,ＤｅＮＡ,牧 秀悟,1045,800,76.56%,1181,338,74,71.38%,28.62%,6.27%
22,阪神,近本 光司,1032,789,76.45%,1176,344,59,70.75%,29.25%,5.02%
23,広島,マクブルーム,1074,809,75.33%,1050,342,91,67.43%,32.57%,8.67%
24,楽天,辰己 涼介,917,690,75.25%,952,335,74,64.81%,35.19%,7.77%
25,日本ハム,清宮 幸太郎,989,742,75.03%,948,292,103,69.20%,30.80%,10.86%
26,オリックス,中川 圭太,842,628,74.58%,1018,361,47,64.54%,35.46%,4.62%
27,ＤｅＮＡ,桑原 将志,963,717,74.45%,1053,328,56,68.85%,31.15%,5.32%
28,広島,坂倉 将吾,1174,869,74.02%,1294,473,88,63.45%,36.55%,6.80%
29,中日,大島 洋平,867,639,73.70%,1061,405,26,61.83%,38.17%,2.45%
30,巨人,吉川 尚輝,1003,734,73.18%,1242,394,74,68.28%,31.72%,5.96%
31,巨人,岡本 和真,1164,844,72.51%,1118,296,116,73.52%,26.48%,10.38%
32,西武,源田 壮亮,769,557,72.43%,972,333,59,65.74%,34.26%,6.07%
33,ヤクルト,塩見 泰隆,1055,764,72.42%,1185,312,150,73.67%,26.33%,12.66%
34,中日,岡林 勇希,1023,740,72.34%,1260,468,70,62.86%,37.14%,5.56%
35,西武,山川 穂高,1092,785,71.89%,967,245,140,74.66%,25.34%,14.48%
36,阪神,中野 拓夢,1030,740,71.84%,1287,480,61,62.70%,37.30%,4.74%
37,西武,オグレディ,999,712,71.27%,904,213,125,76.44%,23.56%,13.83%
38,中日,ビシエド,965,687,71.19%,959,245,53,74.45%,25.55%,5.53%
39,ヤクルト,オスナ,944,672,71.19%,1057,317,77,70.01%,29.99%,7.28%
40,中日,木下 拓哉,773,550,71.15%,933,298,57,68.06%,31.94%,6.11%
41,オリックス,紅林 弘太郎,827,587,70.98%,995,290,64,70.85%,29.15%,6.43%
42,巨人,ポランコ,1076,746,69.33%,923,228,84,75.30%,24.70%,9.10%
43,広島,菊池 涼介,908,625,68.83%,1095,441,58,59.73%,40.27%,5.30%
44,阪神,佐藤 輝明,1267,872,68.82%,1119,276,112,75.34%,24.66%,10.01%
45,ロッテ,髙部 瑛斗,968,654,67.56%,1156,303,71,73.79%,26.21%,6.14%
46,ヤクルト,長岡 秀樹,897,606,67.56%,1054,237,83,77.51%,22.49%,7.87%
47,ソフトバンク,柳田 悠岐,987,634,64.24%,827,117,146,85.85%,14.15%,17.65%
48,広島,小園 海斗,861,516,59.93%,881,181,68,79.46%,20.54%,7.72%
